subject,list,position,trial_type,item,item_number,session,list_type,category,response,response_time,list_category
1,1,1,study,"TOWEL",743,1,pure,obj,3,1.517,obj
1,1,2,study,"LADLE",631,1,pure,obj,3,1.404,obj
1,1,3,study,"THERMOS",735,1,pure,obj,3,0.911,obj
1,1,4,study,"LEGO",637,1,pure,obj,3,0.883,obj
1,1,5,study,"BACKPACK",521,1,pure,obj,3,0.819,obj
1,1,6,study,"JACKHAMMER",621,1,pure,obj,1,1.212,obj
1,1,7,study,"LANTERN",633,1,pure,obj,2,0.888,obj
1,1,8,study,"DOORKNOB",576,1,pure,obj,3,0.915,obj
1,1,9,study,"SHOVEL",708,1,pure,obj,1,1.287,obj
1,1,10,study,"WATER GUN",760,1,pure,obj,1,0.839,obj
1,1,11,study,"INK CARTRIDGE",617,1,pure,obj,2,0.81,obj
1,1,12,study,"PHONE",673,1,pure,obj,4,0.833,obj
1,1,13,study,"PAPER CLIP",665,1,pure,obj,3,0.856,obj
1,1,14,study,"MOUSETRAP",657,1,pure,obj,1,0.829,obj
1,1,15,study,"SPEAKER",717,1,pure,obj,2,0.927,obj
1,1,16,study,"CAR SEAT",559,1,pure,obj,3,0.678,obj
1,1,17,study,"BAYONET",532,1,pure,obj,1,0.828,obj
1,1,18,study,"MIRROR",653,1,pure,obj,4,0.836,obj
1,1,19,study,"STONE",724,1,pure,obj,1,0.897,obj
1,1,20,study,"WATCH",759,1,pure,obj,4,0.794,obj
1,1,21,study,"PILL",677,1,pure,obj,3,0.708,obj
1,1,22,study,"SMART CAR",713,1,pure,obj,1,1.012,obj
1,1,23,study,"REMOTE",689,1,pure,obj,4,0.97,obj
1,1,24,study,"CHAIN",561,1,pure,obj,4,0.855,obj
1,1,1,recall,"CHAIN",561,1,pure,obj,4,0.855,obj
1,1,2,recall,"SMART CAR",713,1,pure,obj,1,1.012,obj
1,1,3,recall,"BAYONET",532,1,pure,obj,1,0.828,obj
1,1,4,recall,"WATCH",759,1,pure,obj,4,0.794,obj
1,1,5,recall,"CAR SEAT",559,1,pure,obj,3,0.678,obj
1,1,6,recall,"PILL",677,1,pure,obj,3,0.708,obj
1,1,7,recall,"JACKHAMMER",621,1,pure,obj,1,1.212,obj
1,1,8,recall,"STONE",724,1,pure,obj,1,0.897,obj
1,1,9,recall,"SHOVEL",708,1,pure,obj,1,1.287,obj
1,1,10,recall,"BACKPACK",521,1,pure,obj,3,0.819,obj
1,1,11,recall,"DOORKNOB",576,1,pure,obj,3,0.915,obj
1,1,12,recall,"MOUSETRAP",657,1,pure,obj,1,0.829,obj
1,1,13,recall,"TOWEL",743,1,pure,obj,3,1.517,obj
1,1,14,recall,"CHAIN",561,1,pure,obj,4,0.855,obj
1,1,15,recall,"MIRROR",653,1,pure,obj,4,0.836,obj
1,1,16,recall,"PHONE",673,1,pure,obj,4,0.833,obj
1,1,17,recall,"PAPER CLIP",665,1,pure,obj,3,0.856,obj
1,1,18,recall,"LEGO",637,1,pure,obj,3,0.883,obj
1,1,19,recall,"SHOVEL",708,1,pure,obj,1,1.287,obj
1,2,1,study,"SEAN PENN",229,1,mixed,cel,3,1.255,mixed
1,2,2,study,"AUDREY HEPBURN",20,1,mixed,cel,3,1.04,mixed
1,2,3,study,"ST PATRICKS CATHEDRAL",464,1,mixed,loc,2,1.164,mixed
1,2,4,study,"LES INVALIDES",365,1,mixed,loc,2,0.829,mixed
1,2,5,study,"GREAT ZIMBABWE RUINS",341,1,mixed,loc,3,0.872,mixed
1,2,6,study,"BRYCE CANYON",282,1,mixed,loc,2,1.241,mixed
1,2,7,study,"TROPHY",746,1,mixed,obj,3,0.862,mixed
1,2,8,study,"BRUSH",549,1,mixed,obj,3,0.779,mixed
1,2,9,study,"SUPREME COURT",470,1,mixed,loc,2,1.245,mixed
1,2,10,study,"SAN FRANCISCO",445,1,mixed,loc,4,0.854,mixed
1,2,11,study,"TREVI FOUNTAIN",484,1,mixed,loc,2,1.049,mixed
1,2,12,study,"TAHITI",473,1,mixed,loc,4,0.824,mixed
1,2,13,study,"ANDRE3000",12,1,mixed,cel,2,1.263,mixed
1,2,14,study,"NICOLAS CAGE",192,1,mixed,cel,3,0.752,mixed
1,2,15,study,"JUSTIN TIMBERLAKE",147,1,mixed,cel,4,0.898,mixed
1,2,16,study,"JULIA ROBERTS",145,1,mixed,cel,4,0.805,mixed
1,2,17,study,"LEBRON JAMES",160,1,mixed,cel,2,0.928,mixed
1,2,18,study,"JOHN MCCAIN",139,1,mixed,cel,2,1.018,mixed
1,2,19,study,"GLASS",597,1,mixed,obj,3,1.051,mixed
1,2,20,study,"KLEENEX",628,1,mixed,obj,4,0.855,mixed
1,2,21,study,"BLENDER",538,1,mixed,obj,2,1.171,mixed
1,2,22,study,"HELMET",611,1,mixed,obj,1,1.139,mixed
1,2,23,study,"CHAIR",562,1,mixed,obj,4,0.933,mixed
1,2,24,study,"BRICK",547,1,mixed,obj,1,1.043,mixed
1,2,1,recall,"BRICK",547,1,mixed,obj,1,1.043,mixed
