subject,list,position,trial_type,item,session
63,1,1,study,PIE,1
63,1,2,study,CAKE,1
63,1,3,study,KITE,1
63,1,4,study,BONE,1
63,1,5,study,GUARDIAN,1
63,1,6,study,THIMBLE,1
63,1,7,study,HAYSTACK,1
63,1,8,study,ZOO,1
63,1,9,study,DISHWASHER,1
63,1,10,study,TAPE,1
63,1,11,study,MONSTER,1
63,1,12,study,SWAMP,1
63,1,13,study,KNIFE,1
63,1,14,study,SUPPER,1
63,1,15,study,HELICOPTER,1
63,1,16,study,OBOE,1
63,1,1,recall,HELICOPTER,1
63,1,2,recall,OBOE,1
63,1,3,recall,DISHWASHER,1
63,1,4,recall,KNIFE,1
63,1,5,recall,SUPPER,1
63,1,6,recall,PIE,1
63,1,7,recall,CAKE,1
63,2,1,study,RECIPE,1
63,2,2,study,KNOT,1
63,2,3,study,GRADUATE,1
63,2,4,study,PEACH,1
63,2,5,study,SUPERVISOR,1
63,2,6,study,BUCKET,1
63,2,7,study,PRUNE,1
63,2,8,study,OWNER,1
63,2,9,study,BOSS,1
63,2,10,study,CITRUS,1
63,2,11,study,PEAR,1
63,2,12,study,WASHCLOTH,1
63,2,13,study,GOWN,1
63,2,14,study,POTATO,1
63,2,15,study,REPORT,1
63,2,16,study,TYPEWRITER,1
63,2,1,recall,TYPEWRITER,1
63,2,2,recall,CITRUS,1
63,2,3,recall,PEAR,1
63,2,4,recall,OWNER,1
63,2,5,recall,PRUNE,1
63,3,1,study,CLOVE,1
63,3,2,study,FRIAR,1
63,3,3,study,CROW,1
63,3,4,study,WINGS,1
63,3,5,study,MACHINE,1
63,3,6,study,NICKEL,1
63,3,7,study,POPE,1
63,3,8,study,AGENT,1
63,3,9,study,PUPPY,1
63,3,10,study,DIAPER,1
63,3,11,study,MAID,1
63,3,12,study,DETERGENT,1
63,3,13,study,REFEREE,1
63,3,14,study,CHAMBER,1
63,3,15,study,SUSPECT,1
63,3,16,study,PRAIRIE,1
63,3,1,recall,FRIAR,1
63,3,2,recall,CROW,1
63,3,3,recall,NICKEL,1
63,3,4,recall,MACHINE,1
63,3,5,recall,CHAMBER,1
63,3,6,recall,SUSPECT,1
63,3,7,recall,CLOVE,1
63,3,8,recall,DETERGENT,1
63,3,9,recall,WASHCLOTH,1
63,4,1,study,LONDON,1
63,4,2,study,RECEIPT,1
63,4,3,study,PIKE,1
63,4,4,study,ASIA,1
63,4,5,study,TAR,1
63,4,6,study,VETERAN,1
63,4,7,study,ROCKET,1
63,4,8,study,APARTMENT,1
63,4,9,study,CENT,1
63,4,10,study,DRAWER,1
63,4,11,study,LEVER,1
63,4,12,study,BAY,1
63,4,13,study,CANOE,1
63,4,14,study,LAKE,1
63,4,15,study,DRIVEWAY,1
63,4,16,study,JEEP,1
63,4,1,recall,DRIVEWAY,1
63,4,2,recall,JEEP,1
63,4,3,recall,LONDON,1
63,4,4,recall,RECEIPT,1
63,4,5,recall,ASIA,1
63,4,6,recall,LEVER,1
63,5,1,study,POPCORN,2
63,5,2,study,PEANUT,2
63,5,3,study,GLUE,2
63,5,4,study,GUM,2
63,5,5,study,PEBBLE,2
63,5,6,study,HEDGE,2
63,5,7,study,GRAVE,2
63,5,8,study,MUSHROOM,2
63,5,9,study,GRASSHOPPER,2
63,5,10,study,GODDESS,2
63,5,11,study,SIREN,2
63,5,12,study,BAND,2
63,5,13,study,VIOLIN,2
63,5,14,study,STAIRS,2
63,5,15,study,KIDNEY,2
63,5,16,study,FUNGUS,2
63,5,1,recall,STAIRS,2
63,5,2,recall,BAND,2
63,5,3,recall,VIOLIN,2
63,5,4,recall,KIDNEY,2
63,5,5,recall,MUSHROOM,2
63,5,6,recall,FUNGUS,2
63,5,7,recall,GODDESS,2
63,5,8,recall,SIREN,2
63,5,9,recall,HEDGE,2
63,5,10,recall,GRASSHOPPER,2
63,5,11,recall,PARTY,2
63,5,12,recall,BEAN,2
63,6,1,study,GRASS,2
63,6,2,study,BASKET,2
63,6,3,study,EAR,2
63,6,4,study,SHRIMP,2
63,6,5,study,DRESSER,2
63,6,6,study,HOSE,2
63,6,7,study,ISLAND,2
